Class Name, Weighted Method Count
org/assertj/core/api/SoftAssertionClassAssert,1
org/assertj/core/api/Java6JUnitSoftAssertions,2
org/assertj/core/error/ElementsShouldMatch,4
org/assertj/core/api/AtomicReferenceFieldUpdaterAssert,4
org/assertj/core/error/ShouldStartWithPath,2
org/assertj/core/data/Percentage,12
org/assertj/core/error/ShouldBeRegularFile,2
org/assertj/core/error/OptionalShouldContain,13
org/assertj/core/api/AbstractObjectAssert,22
org/assertj/core/api/NumberAssert,13
org/assertj/core/error/ShouldHaveNoNullFields,8
org/assertj/core/api/filter/Filters,34
org/assertj/core/internal/ShortArrays,28
org/assertj/core/api/ClassAssert,3
org/assertj/core/internal/ExtendedByTypesComparator,13
org/assertj/core/api/exception/RuntimeIOException,2
org/assertj/core/error/future/ShouldNotBeCancelled,2
org/assertj/core/internal/Bytes,13
org/assertj/core/error/ShouldBeInstanceOfAny,4
org/assertj/core/api/AbstractCharacterAssert,14
org/assertj/core/util/TextFileWriter,11
org/assertj/core/error/ShouldBeEqualNormalizingWhitespace,2
org/assertj/core/api/AbstractCharArrayAssert,32
org/assertj/core/error/ShouldBeCanonicalPath,2
org/assertj/core/util/Arrays,36
org/assertj/core/condition/DoesNotHave,3
org/assertj/core/error/ShouldBeLowerCase,2
org/assertj/core/error/ShouldBeIn,3
org/assertj/core/api/AbstractLocalDateAssert,33
org/assertj/core/error/ShouldNotHaveAnyElementsOfTypes,2
org/assertj/core/error/ShouldHaveStamp,2
org/assertj/core/error/future/ShouldBeCompletedExceptionally,2
org/assertj/core/api/BooleanArrayAssert,1
org/assertj/core/internal/Classes,87
org/assertj/core/api/AbstractSoftAssertions,29
org/assertj/core/error/ClassModifierShouldBe,6
org/assertj/core/api/OptionalAssert,1
org/assertj/core/error/ShouldHaveContent,4
org/assertj/core/presentation/NumberGrouping,10
org/assertj/core/util/Sets,11
org/assertj/core/error/ShouldHave,2
org/assertj/core/error/ShouldNotAccept,2
org/assertj/core/error/ShouldHaveNoFields,7
org/assertj/core/api/IterableAssert,73
org/assertj/core/api/AbstractBooleanAssert,7
org/assertj/core/error/ShouldHaveMethods,12
org/assertj/core/error/uri/ShouldHaveAuthority,4
org/assertj/core/api/LongArrayAssert,2
org/assertj/core/api/AtomicLongArrayAssert,31
org/assertj/core/api/AbstractAssert,99
org/assertj/core/internal/Comparables,44
org/assertj/core/error/ShouldNotBeInstanceOfAny,4
org/assertj/core/error/ShouldBeInSameSecondWindow,2
org/assertj/core/api/Java6SoftAssertions,3
org/assertj/core/extractor/ByNameSingleExtractor,6
org/assertj/core/error/ShouldNotBeEqualIgnoringWhitespace,2
org/assertj/core/error/ShouldBeAfter,4
org/assertj/core/api/ObjectArrayAssert,2
org/assertj/core/error/ShouldNotBeEmpty,3
org/assertj/core/api/FactoryBasedNavigableIterableAssert,2
org/assertj/core/groups/FieldsOrPropertiesExtractor,6
org/assertj/core/error/ShouldNotContainNull,2
org/assertj/core/error/ShouldBeEqualToIgnoringFields,8
org/assertj/core/api/AtomicIntegerFieldUpdaterAssert,5
org/assertj/core/internal/BooleanArrays,26
org/assertj/core/api/LocalDateTimeAssert,1
org/assertj/core/error/ShouldBeExactlyInstanceOf,4
org/assertj/core/util/diff/Patch,5
org/assertj/core/error/ShouldNotBeBlank,2
org/assertj/core/internal/Lists,34
org/assertj/core/util/Hexadecimals,3
org/assertj/core/error/ShouldNotHaveThrown,2
org/assertj/core/api/Assumptions,92
org/assertj/core/data/MapEntry,11
org/assertj/core/api/LongAssert,3
org/assertj/core/api/AbstractAtomicReferenceAssert,4
org/assertj/core/api/AbstractTemporalAssert,6
org/assertj/core/internal/RealNumbers,8
org/assertj/core/internal/Numbers,31
org/assertj/core/error/ShouldBeEmpty,2
org/assertj/core/api/AbstractByteArrayAssert,44
org/assertj/core/error/ShouldBeEqualWithinPercentage,2
org/assertj/core/api/AbstractLongAssert,43
org/assertj/core/error/uri/ShouldHavePort,8
org/assertj/core/error/ShouldNotBe,2
org/assertj/core/error/ElementsShouldBeExactly,2
org/assertj/core/error/ShouldExist,6
org/assertj/core/error/ShouldHaveRootCauseInstance,4
org/assertj/core/api/AtomicStampedReferenceAssert,6
org/assertj/core/util/FloatComparator,22
org/assertj/core/groups/Tuple,10
org/assertj/core/api/AbstractLocalTimeAssert,45
org/assertj/core/configuration/Services,4
org/assertj/core/error/ShouldBeBetween,10
org/assertj/core/api/ClassBasedNavigableListAssert,7
org/assertj/core/api/AtomicMarkableReferenceAssert,8
org/assertj/core/error/ShouldHaveAtLeastOneElementOfType,2
org/assertj/core/extractor/ByNameMultipleExtractor,10
